OriginState,DestState,AvgFare
Kansas,Puerto Rico,300.6699281
Kansas,Rhode Island,323.0421528
Kansas,South Carolina,288.2583357
Kansas,South Dakota,353.3218391
Kansas,Tennessee,254.6613076
Kansas,Texas,215.4316396
Kansas,U.S. Pacific Trust Territories and Possessions,1045.6475
Kansas,U.S. Virgin Islands,395.7279487
Kansas,Utah,281.564239
Kansas,Vermont,375.3539655
Kansas,Virginia,260.8158369
Kansas,Washington,294.2764935
Kansas,West Virginia,355.6172222
Kansas,Wisconsin,273.1078019
Kansas,Wyoming,314.6478218
Kentucky,Alabama,315.4861012
Kentucky,Alaska,436.3610227
Kentucky,Arizona,276.2265051
Kentucky,Arkansas,303.2215846
Kentucky,California,330.3740201
Kentucky,Colorado,264.6304147
Kentucky,Connecticut,285.4241349
Kentucky,Florida,218.6568768
Kentucky,Georgia,249.9346922
Kentucky,Hawaii,546.4616265
Kentucky,Idaho,358.2604773
Kentucky,Illinois,232.5670737
Kentucky,Indiana,268.2961842
Kentucky,Iowa,287.4790049
Kentucky,Kansas,314.7663333
Kentucky,Louisiana,268.7756368
Kentucky,Maine,265.9196716
Kentucky,Maryland,188.709913
Kentucky,Massachusetts,312.9308951
Kentucky,Michigan,330.8413467
Kentucky,Minnesota,311.3420072
Kentucky,Mississippi,293.7118618
Kentucky,Missouri,260.9601025
Kentucky,Montana,323.7079373
Kentucky,Nebraska,283.1655726
Kentucky,Nevada,257.9924965
Kentucky,New Hampshire,269.3597788
Kentucky,New Jersey,323.7910225
Kentucky,New Mexico,293.2941555
Kentucky,New York,301.154575
Kentucky,North Carolina,255.6764226
Kentucky,North Dakota,318.2793806
Kentucky,Ohio,260.2258049
Kentucky,Oklahoma,295.3407727
Kentucky,Oregon,330.4568493
Kentucky,Pennsylvania,277.6584926
Kentucky,Puerto Rico,298.7884114
Kentucky,Rhode Island,285.8653681
Kentucky,South Carolina,270.6535975
Kentucky,South Dakota,317.6533541
Kentucky,Tennessee,274.1885596
Kentucky,Texas,287.9305905
Kentucky,U.S. Pacific Trust Territories and Possessions,1193.127619
Kentucky,U.S. Virgin Islands,372.154136
Kentucky,Utah,313.9876067
Kentucky,Vermont,306.0569533
Kentucky,Virginia,225.8792472
Kentucky,Washington,320.8582828
Kentucky,West Virginia,293.5714286
Kentucky,Wisconsin,285.0141728
Kentucky,Wyoming,359.5331027
Louisiana,Alabama,304.2308582
Louisiana,Alaska,451.9879504
Louisiana,Arizona,253.4205183
